"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1810062G17Rik"	-0.347368000478079	0.432867950652292	-1.35398572376746	-1.63314200593187	-1.05197886686834	-1.38131020875018	-0.0211922649864947	1.46050677519927	1.29438600362422	0.660350122854129	0.881681422199663	0.351981401162818
"2010001A14Rik"	1.2688692060135	0.630407535274099	1.00925568253995	0.491450459186815	1.60330588465269	1.07036728391025	2.0980955635939	1.74617533461764	2.57005073105153	2.05515461780004	1.36423696704891	2.02784944246577
"2010012O05Rik"	4.21185643430544	4.49158288521043	4.17531157013797	4.19196278701242	4.50159198035301	4.42851876668433	4.46325200583108	4.84672996145317	4.79690148324212	4.48231609377285	4.5504683540432	4.48001790898168
"2010016I18Rik"	3.31446116178732	3.66002939813013	3.79191919395721	2.32694909908681	2.51065784141986	2.94711849013311	5.0620047045482	5.03206593778151	4.90155227989979	4.75481797722828	4.44130137056515	4.41091244294867
"2010107E04Rik"	7.5517357525977	7.69909985744968	7.8164968075759	7.82835248792262	7.92788872415069	7.89618562570429	7.86721656787391	7.93669332412492	7.60109828602751	7.40693047303115	7.41087434828498	7.48062426279939
"2010107G23Rik"	-0.95623964514839	0.322932468291972	-0.188186153781515	0.903194754285443	0.278121714041524	-0.0191362671807887	1.46911025247372	1.2440091277151	2.19970882744574	2.09351162830503	1.94680235953223	2.06620421476524
"2010109I03Rik"	2.40849644599783	2.91459474066981	2.42339217066921	2.86543667719487	3.15914865911284	2.98986143819095	3.41377639317032	3.63794851416606	3.49393636140208	4.0902572682432	3.57360107468812	3.67328453157487
"2010111I01Rik"	5.92291058059089	5.95798112930092	5.941900556784	6.20337610857716	6.23032119603123	6.26340626221554	6.22902630415866	5.949764006278	6.05825459142006	6.39028578446447	6.1609620763587	6.27659374719415
"2010315B03Rik"	3.57998669829641	3.61409058776157	3.69889881996449	3.37617911708815	3.87491162607713	3.57123556317551	4.51531077930307	4.10101054657756	4.39750638545434	4.36177956862102	4.3406689202797	4.02930529136014
"2010320M18Rik"	1.19770621681863	1.93584133223426	1.96525310207659	1.63619855483543	1.87356385580362	1.72503197498736	2.36344257586505	1.76954536788905	2.37612189891038	1.70490959737038	2.27233106910344	1.79646779731617
"2200002D01Rik"	-0.0301543658989153	-0.145259228685631	0.558089456501565	-0.443915615464512	-0.330436702855396	-0.699524471753105	1.55120116689444	1.69826795235272	0.929785177293906	1.49169235932006	1.06107206710586	0.731924299755878
"2210013O21Rik"	4.19368362435087	4.52919936765582	4.03963582401166	3.93887058357946	4.39473959057033	4.12148841855754	5.41795444637934	5.24294380687307	5.44897113401483	5.35739446319623	5.17468183565417	5.36504853609977
"2210015D19Rik"	3.66598606959411	3.54231744218438	3.29231835774837	3.72474462447884	3.71791031865613	3.81891733426649	3.56633725996345	3.4910395811781	3.43537672675293	3.19199703622531	3.14671550532817	3.10141197246509
"2210016F16Rik"	7.07322814353322	7.12684650733923	7.01291745114803	7.2057738880538	7.26290631655598	7.15805416495279	7.11598876457626	7.03887272117464	7.10217895323535	6.99873491961918	6.96556852023688	6.91401147229973
"2210016L21Rik"	4.82726400427271	4.82725494500307	4.87336335429296	4.86353169918967	5.08849584082337	4.70737782103943	4.98286572762528	4.90592751621589	5.19618118169646	4.93460546981837	5.05802875774995	5.05520065018549
"2210018M11Rik"	5.60082887499132	5.35116564720632	5.63330614482162	5.53109980676398	5.39965806710189	5.64017038575143	5.21675008999912	5.1635763670715	5.33613066763311	5.29909411747582	5.27807599370341	5.12272289920891
"2210404O09Rik"	4.12821317835071	4.01408537703101	3.96169579919124	4.20008498200245	4.05774771776907	4.05460787552886	4.93779640840015	4.68714852126317	4.67846168377652	4.65575855271045	4.5085609532718	4.66633055641155
