"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1810034E14Rik"	2.50358241776011	1.96698809017441	2.42671033333602	1.00814159194643	1.84667810786936	1.78914191848035	2.00903056157978	2.39689297916303	2.3480950750567	1.63880069675208	1.81847030314046	2.08561538810999
"1810037I17Rik"	7.53872702093669	7.40154360913726	7.55747393121153	7.85782125692723	7.99200014382735	8.08128849211848	7.14427633323392	7.23417970842373	6.90022941766616	7.06749080512925	7.00693781796208	7.09399692522411
"1810041H14Rik"	3.41138472532266	3.60089597920156	3.15519055817738	2.99766835496144	2.91695388860897	2.82573247701566	5.50105401307237	5.43204603522504	4.76383081982161	5.22450182055123	4.49281387673867	4.45505686165934
"1810043G02Rik"	2.24063646004928	2.00283172062631	1.99696623131338	1.53483330889371	1.7746947264216	1.75329567690633	2.32465130215623	2.52540627285475	3.09612977959855	2.81536710711025	2.50827913122786	2.51306026186244
"1810043H04Rik"	6.6020659793021	6.51808790440946	6.62376318188559	6.62988324369459	6.70828382643348	6.77972919220437	7.17943987428435	7.23165670588291	6.96595558774145	6.87995828597846	6.75561907912774	6.66926579776829
"1810044D09Rik"	1.88187421170079	2.41278884103601	2.64500766288147	1.3033831931824	1.91957489692856	1.97789710260148	2.12511331288641	3.02549210425979	2.96589363696478	2.61635602916336	1.92265320325597	2.58908450930558
"1810055G02Rik"	2.41336391386273	2.03973991249349	2.38005172968192	2.60710813121351	2.40624149632839	2.719600750793	0.883060450934441	0.968766676505185	1.22349488081272	0.817208849482278	1.57930449406195	2.03327244068188
"1810058I24Rik"	5.37676879126611	5.5540801774174	5.56243914727626	5.28402763722458	5.47385783415193	5.47235744205885	6.42901400284112	6.45932271682133	6.3549537874076	6.18522299568537	5.98295512684517	6.33114532814205
"1810062G17Rik"	-0.212890959618043	0.567344991512328	-1.21950868290742	-1.49866496507183	-0.917501826008305	-1.24683316789014	0.113284775873542	1.5949838160593	1.42886304448426	0.794827163714165	1.0161584630597	0.486458442022855
"2010001A14Rik"	1.65722466263984	1.01876299190044	1.39761113916629	0.879805915813153	1.99166134127903	1.45872274053659	2.48645102022024	2.13453079124398	2.95840618767787	2.44351007442637	1.75259242367524	2.41620489909211
"2010012O05Rik"	3.09017787771719	3.36990432862217	3.05363301354972	3.07028423042416	3.37991342376476	3.30684021009608	3.34157344924283	3.72505140486492	3.67522292665387	3.3606375371846	3.42878979745495	3.35833935239343
"2010016I18Rik"	2.67476592838774	3.02033416473055	3.15222396055763	1.68725386568722	1.87096260802028	2.30742325673353	4.42230947114862	4.39237070438193	4.26185704650021	4.1151227438287	3.80160613716556	3.77121720954909
"2010107E04Rik"	9.00576738349241	9.15313148834438	9.27052843847061	9.28238411881733	9.38192035504539	9.350217256599	9.32124819876862	9.39072495501962	9.05512991692221	8.86096210392586	8.86490597917969	8.9346558936941
"2010107G23Rik"	-1.74784536985294	-0.46867325641258	-0.979791878486066	0.111589029580892	-0.513484010663027	-0.81074199188534	0.677504527769164	0.452403403010549	1.40810310274118	1.30190590360048	1.15519663482768	1.27459849006069
"2010109I03Rik"	1.49240202305947	1.99850031773145	1.50729774773086	1.94934225425651	2.24305423617448	2.07376701525259	2.49768197023196	2.7218540912277	2.57784193846372	3.17416284530485	2.65750665174976	2.75719010863651
"2010111I01Rik"	2.73055857984533	2.76562912855536	2.74954855603845	3.01102410783161	3.03796919528568	3.07105426146999	3.03667430341311	2.75741200553244	2.86590259067451	3.19793378371891	2.96861007561315	3.08424174644859
"2010315B03Rik"	2.11584124160523	2.14994513107039	2.23475336327331	1.91203366039696	2.41076616938594	2.10709010648432	3.05116532261188	2.63686508988637	2.93336092876316	2.89763411192984	2.87652346358852	2.56515983466896
"2010320M18Rik"	1.62239388613119	2.36052900154682	2.38994077138915	2.06088622414799	2.29825152511619	2.14971964429992	2.78813024517762	2.19423303720161	2.80080956822295	2.12959726668294	2.697018738416	2.22115546662874
"2200002D01Rik"	0.949787981759831	0.834683118973115	1.53803180416031	0.536026732194235	0.649505644803351	0.280417875905641	2.53114351455319	2.67821030001147	1.90972752495265	2.4716347069788	2.0410144147646	1.71186664741462
"2210013O21Rik"	4.41800092261181	4.75351666591676	4.2639531222726	4.1631878818404	4.61905688883127	4.34580571681848	5.64227174464028	5.46726110513401	5.67328843227577	5.58171176145717	5.39899913391511	5.58936583436071
"2210015D19Rik"	2.78628030331183	2.66261167590209	2.41261259146608	2.84503885819655	2.83820455237384	2.9392115679842	2.68663149368116	2.61133381489581	2.55567096047064	2.31229126994302	2.26700973904588	2.2217062061828
"2210016F16Rik"	5.57651015559804	5.63012851940405	5.51619946321286	5.70905590011862	5.76618832862081	5.66133617701761	5.61927077664109	5.54215473323946	5.60546096530018	5.502016931684	5.4688505323017	5.41729348436455
"2210016L21Rik"	4.42672607468898	4.42671701541934	4.47282542470923	4.46299376960594	4.68795791123964	4.3068398914557	4.58232779804156	4.50538958663216	4.79564325211273	4.53406754023464	4.65749082816623	4.65466272060176
"2210018M11Rik"	3.59578825829079	3.34612503050579	3.62826552812108	3.52605919006345	3.39461745040136	3.6351297690509	3.21170947329859	3.15853575037097	3.33109005093257	3.29405350077529	3.27303537700288	3.11768228250838
"2210404O09Rik"	2.97700378546581	2.86287598414612	2.81048640630634	3.04887558911756	2.90653832488417	2.90339848264397	3.78658701551526	3.53593912837827	3.52725229089162	3.50454915982556	3.35735156038691	3.51512116352666
"2210408I21Rik"	-0.738238488120772	-1.77376638883133	-0.864183118599914	-0.635906730877326	-0.483038942996166	-0.748515194265318	-2.10450267729766	-2.66278374201146	-2.10687523697147	-1.93931237801653	-2.26512833211728	-1.76172303421933
"2210417A02Rik"	1.22829368200417	1.92789207121769	2.27475630586062	-0.556473410454035	0.434184519164347	0.267739885423401	-0.492064986399223	1.49177354195704	1.93574647902481	0.724243178460526	1.36390152612056	2.23808488851669
"2300009A05Rik"	4.60461947525525	4.53661092725037	4.52806047851443	4.47214633995973	4.5803322101463	4.82035099967238	5.20503461629507	5.50366263473799	4.7504372037555	4.27810813678506	4.07465804637742	4.09660350534667
"2310001H17Rik"	6.02725214418052	6.29730974834963	6.06015240128928	4.9359653421431	5.37613555946472	5.10919140178533	8.25315517643465	8.20051632292541	7.9965970926779	7.51723535033044	7.05808677368749	7.73883972855328
"2310009A05Rik"	5.71466620025354	5.75963814732853	5.72745198609701	5.69278546924069	5.53809012926518	5.76356550939428	6.37595279636727	6.42980905947143	6.20566885422228	6.13183591235413	5.89850951477113	6.25124420995194
"2310009B15Rik"	4.08886196290008	4.38708765170058	4.25177362271501	3.92623209900308	4.3174713049419	4.02396478244991	4.44540291687648	4.49015764474667	4.71540525757365	4.37915876954157	4.05123341105831	4.63482201392152
"2310010J17Rik"	3.36451142711656	3.66976246630996	3.38863139551076	3.25064031749615	3.17651258385132	3.59612937875284	4.81995386501124	4.93897627248163	4.63927920110207	4.57621110165982	4.39982667055303	4.69818455290238
"2310011J03Rik"	5.77715107042077	5.92063522471492	5.93004592262415	5.65413961346462	5.89631785808052	5.81182495624498	5.83465638883921	5.82547042540453	5.89691111384009	5.62093104407895	5.82892312265871	5.87976794521702
"2310015A10Rik"	-0.792965327195618	-0.359450746332675	-0.372438156505401	-0.765288107246114	-0.487515796145538	-0.491985306504103	1.69954246832764	1.41748974338975	1.95119442593488	1.66398407354606	1.3901167047898	1.58847484808861
"2310022A10Rik"	4.12520930644662	4.0417278268054	4.07583086754772	4.30020473532763	4.27520962292959	4.34973094650237	3.24244847171152	3.16201333679518	3.29850832084958	3.48888570704803	3.73889559462963	3.162699496006
"2310022B05Rik"	0.607496725499831	0.0316343447649787	0.560710394647644	0.461321834053612	0.41023362547617	0.433266415760899	1.26646412727862	1.72271065963372	1.16825111934457	1.01331182204976	0.198273089162816	0.615547219989677
"2310033P09Rik"	5.00296508951163	4.85307048309168	4.81945796172242	5.03617750879092	5.23224841714797	5.06275243899172	5.49004365795071	5.20617319732783	5.50177023301101	5.26821930768022	5.10897232254114	5.28900065693859
"2310035C23Rik"	2.61275463333236	2.51333816173251	2.5265405497974	2.42127919344864	2.19719245192772	2.14431981043641	3.38089438554148	2.93994729578733	2.84535956453721	3.0918318407584	3.0677812723492	2.93624450533925
