© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr False Discovery Rate (q-value)	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
-0.181	7.73E-01	A730017L22Rik	 	A730017L22Rik	RIKEN cDNA A730017L22 gene	Other	other	 	
-0.225	3.38E-01	A930005H10Rik	 	A930005H10Rik	RIKEN cDNA A930005H10 gene	Other	other	 	
0.023	9.78E-01	A930006K02Rik	 	A930006K02Rik	RIKEN cDNA A930006K02 gene	Other	other	 	
-0.324	5.19E-01	A930013F10Rik	 	A930013F10Rik	RIKEN cDNA A930013F10 gene	Other	other	 	
-0.279	6.39E-01	A930015D03Rik	 	A930015D03Rik	RIKEN cDNA A930015D03 gene	Other	other	 	
-0.244	3.95E-01	A930024E05Rik	 	A930024E05Rik	RIKEN cDNA A930024E05 gene	Other	other	 	
-0.408	3.35E-01	AA388235	 	AA388235	expressed sequence AA388235	Other	other	 	
-0.620	1.50E-01	AA414768	 	AA414768	expressed sequence AA414768	Other	other	 	
0.182	2.00E-01	Aaas	 	AAAS	aladin WD repeat nucleoporin	Nucleus	other	 	
-0.020	9.36E-01	Aacs	 	AACS	acetoacetyl-CoA synthetase	Cytoplasm	enzyme	 	
-0.108	4.58E-01	Aagab	 	AAGAB	alpha and gamma adaptin binding protein	Cytoplasm	other	 	
-0.002	9.89E-01	Aak1	 	AAK1	AP2 associated kinase 1	Cytoplasm	kinase	LP-935509, SM1-71	
0.005	9.87E-01	Aamdc	 	AAMDC	adipogenesis associated Mth938 domain containing	Cytoplasm	other	 	
0.096	3.21E-01	Aamp	 	AAMP	angio associated migratory cell protein	Plasma Membrane	other	 	
0.029	8.91E-01	Aar2	 	AAR2	AAR2 splicing factor	Other	other	 	
0.114	5.42E-01	Aars	 	AARS1	alanyl-tRNA synthetase 1	Cytoplasm	enzyme	 	
0.019	9.39E-01	Aars2	 	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Cytoplasm	enzyme	 	
0.247	5.42E-02	Aarsd1	 	AARSD1	alanyl-tRNA synthetase domain containing 1	Nucleus	enzyme	 	
0.273	3.32E-01	Aasdh	 	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
0.299	6.48E-02	Aasdhppt	 	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Cytoplasm	enzyme	 	
0.441	2.39E-03	Aatf	 	AATF	apoptosis antagonizing transcription factor	Nucleus	transcription regulator	 	
-0.945	4.07E-02	Abat	 	ABAT	4-aminobutyrate aminotransferase	Cytoplasm	enzyme	theophylline/tretinoin/valproic acid, valproic acid, vigabatrin	
0.977	2.03E-01	Abca1	 	ABCA1	ATP binding cassette subfamily A member 1	Plasma Membrane	transporter	probucol	
-0.565	5.58E-03	Abca2	 	ABCA2	ATP binding cassette subfamily A member 2	Plasma Membrane	transporter	 	
-0.303	1.81E-01	Abca3	 	ABCA3	ATP binding cassette subfamily A member 3	Plasma Membrane	transporter	 	
-0.561	1.08E-03	Abca7	 	ABCA7	ATP binding cassette subfamily A member 7	Plasma Membrane	transporter	 	
-0.075	8.92E-01	Abcb1a	 	ABCB1	ATP binding cassette subfamily B member 1	Plasma Membrane	transporter	dofequidar, encequidar, tariquidar, OC 144-093, olomoucine II, valspodar, eicosapentenoic acid	
-0.222	7.01E-01	Abcb10	 	ABCB10	ATP binding cassette subfamily B member 10	Cytoplasm	transporter	 	
0.486	1.29E-02	Abcb1b	 	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	Plasma Membrane	transporter	 	
0.184	6.31E-01	Abcb6	 	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Cytoplasm	transporter	 	
0.075	6.57E-01	Abcb7	 	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
-0.004	9.84E-01	Abcb8	 	ABCB8	ATP binding cassette subfamily B member 8	Cytoplasm	transporter	 	
-0.455	2.74E-02	Abcb9	 	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
0.228	2.17E-01	Abcc1	 	ABCC1	ATP binding cassette subfamily C member 1	Plasma Membrane	transporter	sulfinpyrazone	
-0.274	3.89E-01	Abcc10	 	ABCC10	ATP binding cassette subfamily C member 10	Plasma Membrane	transporter	 	
-0.007	9.74E-01	Abcc4	 	ABCC4	ATP binding cassette subfamily C member 4	Plasma Membrane	transporter	 	
