gene	length	logFC	logCPM	F	PValue	FDR
Itih5	7928	0.309740547	2.56542679	1.3496736	0.264305845	0.478462003
Slk	7210	0.130441341	4.64394642	1.348856659	0.264444185	0.478635471
Dhfr	5290	0.212143328	5.69866076	1.348295951	0.264539191	0.478730463
LOC118567719	34440	0.683660622	1.459506579	1.347040113	0.264752146	0.478739732
Lrr1	1503	0.329707538	3.981822359	1.347265338	0.264713937	0.478739732
Usp30	4398	0.177879848	3.581102706	1.347982556	0.264592312	0.478739732
Stradb	2367	0.146593136	4.838689211	1.347011885	0.264756935	0.478739732
Surf1	1390	0.0935459	5.910551273	1.347606311	0.264656106	0.478739732
Clybl	5504	0.269562999	2.934077972	1.346448305	0.264852579	0.47883577
Hnrnpm	2532	0.12084036	8.812391407	1.345968511	0.264934041	0.478906139
Cxcr4	2876	-0.318678565	3.441352565	1.345635392	0.264990619	0.478931513
Msl2	5674	0.127016279	5.236146463	1.345227767	0.265059874	0.478979786
Nmb	692	-0.198375137	3.882076074	1.344611236	0.265164668	0.479023501
Alkbh4	2345	-0.120375294	5.237597985	1.344584788	0.265169165	0.479023501
Ipcef1	9011	-0.141275395	6.487006476	1.344298174	0.265217901	0.479034676
Fam193b	4696	-0.215095925	4.343279669	1.342877862	0.265459594	0.479264592
Zfp346	3688	-0.133780788	4.828480399	1.342575044	0.265511162	0.479264592
Cdc14a	8443	-0.133083683	4.800279135	1.343049002	0.265430455	0.479264592
Ikbkb	4586	-0.098750922	7.103190555	1.342549697	0.265515479	0.479264592
Smarcc1	5673	0.099660566	6.998049379	1.342085628	0.265594535	0.479330439
Brms1l	2609	-0.205373568	4.179858874	1.341503302	0.265693782	0.479432697
S100pbp	5068	0.146241996	3.926375986	1.340995734	0.265780328	0.479512009
Jmjd4	8849	0.181862191	4.384193632	1.340311507	0.265897057	0.479548921
Cnep1r1	3096	0.110267956	5.415573571	1.340126817	0.265928576	0.479548921
Cbl	11835	-0.099279748	6.15582235	1.340472943	0.26586951	0.479548921
Adcy3	4737	-0.269420282	3.530392519	1.338044524	0.266284294	0.479806112
Nrde2	5118	0.123101792	4.984382768	1.338590955	0.266190886	0.479806112
Pqbp1	1334	0.097832692	6.709546828	1.338285072	0.266243169	0.479806112
Grk2	3551	-0.08057026	7.658076625	1.338259325	0.26624757	0.479806112
Atp5d	2113	0.077947595	8.705162217	1.338077082	0.266278728	0.479806112
Pecr	1193	0.325737674	2.306624995	1.337271443	0.266416522	0.479813983
Rbm3	3582	-0.150066759	8.339238709	1.337721425	0.266339547	0.479813983
Pus3	2350	0.149403529	4.847351392	1.337468109	0.266382876	0.479813983
1110065P20Rik	928	-0.404192955	1.416891873	1.336942453	0.26647282	0.479838613
Rhoa	2455	-0.077443501	8.783229246	1.336335406	0.266576741	0.479948976
Unc13a	9348	-0.553532769	0.590983142	1.335004388	0.26680479	0.480100216
Ppp2r5b	3214	-0.163383934	3.542032805	1.33460092	0.26687397	0.480100216
Kansl3	7988	0.118460409	5.832005202	1.334648806	0.266865758	0.480100216
Parn	3266	0.114073301	5.90697079	1.33537479	0.266741301	0.480100216
Ttc13	3841	-0.112713896	5.882423285	1.335033973	0.266799718	0.480100216
