gene	length	logFC	logCPM	F	PValue	FDR
Gabrr2	3437	-2.112665844	2.138324467	37.20272321	2.47E-05	0.001021441
D930020B18Rik	4453	-2.115019675	0.570196261	11.37629926	0.004418866	0.03254868
Fam20a	3505	-2.139822889	1.834784142	28.5425038	9.57E-05	0.002351823
Gm30603	624	-2.142147524	2.095998103	15.76117605	0.001335937	0.014475433
Gm36338	10464	-2.150248012	0.316381871	6.4007221	0.023697107	0.100565449
Rnase4	1996	-2.166713747	1.608119703	48.31462083	5.93E-06	0.000427913
Rorc	3564	-2.169213014	2.933684585	78.90327645	3.29E-07	7.72E-05
Il1r2	2688	-2.174320783	1.800120452	25.26420531	0.000172253	0.003609424
Ntn1	5738	-2.193708403	0.353360944	19.46571804	0.000559149	0.008029212
Tox2	4623	-2.213407041	6.270373307	145.5143698	6.69E-09	1.13E-05
Tha1	1840	-2.215119524	3.46858898	75.7263769	4.23E-07	8.51E-05
Ndrg4	3374	-2.217934888	0.686804401	20.5443477	0.000442283	0.006858426
Tgfb3	3385	-2.258541359	2.559097411	52.99218383	3.51E-06	0.000315913
B430306N03Rik	4390	-2.312790366	0.973663931	12.70803166	0.003004177	0.02516445
Zfp365	4257	-2.317366123	1.863344825	34.55301083	3.64E-05	0.001310123
Socs3	2732	-2.347844961	3.787617509	141.313748	8.10E-09	1.13E-05
Ifit1bl1	3186	-2.37466717	2.245473223	27.08554265	0.000123506	0.002808951
Gprc5b	4525	-2.438536302	0.451959701	10.24293821	0.006249842	0.04067094
P4ha2	2345	-2.472227475	-0.056999292	17.44780423	0.000886536	0.010987018
Rsad2	3785	-2.493619567	1.837188154	27.68696874	0.000111028	0.002625953
H2-Q2	2032	-2.549370394	5.493329246	43.3681617	1.08E-05	0.000620998
LOC118567711	2136	-2.554097984	0.024807705	3.146234214	0.105800925	0.272128583
Nav2	114472	-2.614480447	3.596160945	87.7597412	1.71E-07	4.69E-05
Iltifb	1111	-2.680275012	0.065216135	28.49831017	9.64E-05	0.002352385
Kit	5182	-2.761096583	1.374228512	22.51205023	0.000293943	0.005269435
Tigit	2137	-2.810084227	5.480097878	31.56903865	5.79E-05	0.001744893
Il21	3178	-2.82746787	4.685866373	38.02487452	2.20E-05	0.00094611
Usp35	9685	-2.835476593	0.943744077	19.36665503	0.000571548	0.008165593
Ntng2	1924	-2.878059149	0.554742773	27.16955494	0.00012167	0.002789746
Itga7	7267	-3.044405927	2.090674398	88.61111352	1.61E-07	4.52E-05
Serpinb1a	2428	-3.092239251	0.35192038	34.31124017	3.78E-05	0.001337348
Il1r1	6138	-3.379400533	4.209533968	75.73648433	4.23E-07	8.51E-05
B4galnt4	3682	-4.038804124	1.209451906	36.16138327	2.87E-05	0.001118818
Cpeb1	8516	-4.154058081	0.678607639	48.1702157	6.03E-06	0.000432408
Il17re	3592	-4.184534502	0.110744505	80.05947076	3.01E-07	7.53E-05
Adam12	7675	-4.464505309	0.597331239	44.69023827	9.16E-06	0.000551573
Klhl4	3884	-4.771257676	0.837210857	15.97428353	0.001266764	0.014050472
Cd163l1	4508	-5.661270957	0.075713652	31.15795177	6.18E-05	0.001794193
