NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE3982_DC_VS_BCELL_DN	GSE3982_DC_VS_BCELL_DN		107	-0.4470022	-1.6104367	0.0	0.004782152	0.967	1219	tags=23%, list=12%, signal=26%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN		90	-0.4654777	-1.6095908	0.001953125	0.004820117	0.968	1497	tags=37%, list=14%, signal=42%	
GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP	GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP		128	-0.44312468	-1.6093465	0.0	0.004826871	0.968	2213	tags=32%, list=21%, signal=40%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_DN	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_DN		112	-0.4515123	-1.6087278	0.0019193857	0.0048560346	0.968	1854	tags=34%, list=18%, signal=41%	
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP		147	-0.43370724	-1.6085588	0.0019157088	0.0048628137	0.968	1931	tags=31%, list=18%, signal=37%	
GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP	GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP		148	-0.4305146	-1.6085347	0.0	0.0048596812	0.968	917	tags=22%, list=9%, signal=24%	
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP		130	-0.43935436	-1.6084622	0.0037664783	0.0048565525	0.968	1066	tags=25%, list=10%, signal=27%	
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP		113	-0.45067075	-1.607987	0.0	0.004880098	0.969	1952	tags=39%, list=19%, signal=47%	
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_DN	GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_DN		101	-0.4524486	-1.6079416	0.0019723866	0.0048797373	0.969	1735	tags=33%, list=17%, signal=39%	
GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN	GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN		91	-0.46148008	-1.6079056	0.007677543	0.0048738006	0.969	1921	tags=31%, list=18%, signal=37%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN		79	-0.47253016	-1.6074471	0.0038387715	0.0049028224	0.97	873	tags=28%, list=8%, signal=30%	
GSE17721_LPS_VS_POLYIC_8H_BMDC_DN	GSE17721_LPS_VS_POLYIC_8H_BMDC_DN		147	-0.43092257	-1.6072236	0.0	0.004917857	0.971	2132	tags=35%, list=20%, signal=43%	
GSE17721_12H_VS_24H_PAM3CSK4_BMDC_DN	GSE17721_12H_VS_24H_PAM3CSK4_BMDC_DN		152	-0.42813155	-1.60695	0.0	0.0049299933	0.971	1638	tags=29%, list=16%, signal=34%	
GSE12366_GC_VS_NAIVE_BCELL_DN	GSE12366_GC_VS_NAIVE_BCELL_DN		135	-0.4331434	-1.606273	0.003773585	0.004978188	0.974	1506	tags=37%, list=14%, signal=43%	
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_DN	GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_DN		132	-0.44460067	-1.6059182	0.0	0.00500266	0.975	1226	tags=21%, list=12%, signal=24%	
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN	GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN		135	-0.43080243	-1.60567	0.0	0.0050105336	0.975	1050	tags=24%, list=10%, signal=27%	
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN	GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN		135	-0.43277925	-1.60473	0.0	0.005064129	0.976	1664	tags=25%, list=16%, signal=30%	
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN	GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN		161	-0.4268233	-1.6046748	0.0	0.005060806	0.976	2521	tags=38%, list=24%, signal=49%	
