NAME	TITLE	SCORE	
RUVBL2		3.501028	
PLA1A		3.4994023	
TMEM154		3.4955378	
NME1		3.4817107	
MARCKS		3.4759383	
SSSCA1		3.4731183	
EIF4E		3.470888	
UMPS		3.4682865	
MORF4L2		3.4675424	
PRDX3		3.4644837	
NEDD4		3.463337	
CDV3		3.4604409	
SERPINB6B		3.4582663	
TUBA4A		3.4516394	
FKBP4		3.4504955	
EIF3A		3.4497514	
TSR2		3.4462898	
G3BP1		3.441646	
SRSF6		3.4363637	
SLCO4A1		3.4291456	
PSMG1		3.4283276	
RGS16		3.4194925	
LYRM4		3.4148633	
REL		3.4120095	
ZRANB2		3.4091804	
SET		3.406765	
WDR18		3.3959558	
RPL7L1		3.3922656	
NAA15		3.3886874	
PFAS		3.3850994	
EPRS		3.3828578	
ZNHIT3		3.378565	
MECR		3.3714228	
AW209491		3.3708222	
THUMPD1		3.3666422	
ENOPH1		3.3638334	
MAGED2		3.3559902	
POP1		3.3536308	
TRMT6		3.3524952	
ZNHIT6		3.3511024	
HSPA4		3.3485858	
2810004N23RIK		3.345227	
SEH1L		3.3410847	
DDX27		3.3397937	
MPHOSPH6		3.3355708	
MTFP1		3.328914	
CLUH		3.322787	
URB1		3.318186	
MOGS		3.31293	
NACA		3.3071384	
PSMD7		3.3062022	
RUVBL1		3.3010473	
PISD		3.298334	
PSMC6		3.2981129	
PURA		3.294472	
BSPRY		3.2932556	
WDR75		3.2930932	
WDR61		3.2916262	
TOMM40		3.2899556	
SNHG3		3.2860982	
I730030J21RIK		3.2854755	
RGS3		3.2832818	
SLC30A2		3.2828648	
PRPS1		3.278636	
PUSL1		3.2752764	
NUS1		3.2715204	
EXOSC7		3.256929	
NIFK		3.253064	
THYN1		3.2529805	
TMEM70		3.2475982	
EIF3I		3.2467632	
EMC6		3.2402458	
WDR36		3.2375288	
ADSL		3.2343364	
NUDCD1		3.233149	
APOL9B		3.2299054	
NR4A3		3.2254212	
IFITM2		3.2235448	
EIF2S1		3.2216706	
DNMT3A		3.2205122	
PER2		3.2189448	
NOC4L		3.2131815	
