NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE29618_MONOCYTE_VS_PDC_DN	GSE29618_MONOCYTE_VS_PDC_DN		136	0.2561449	0.9623694	0.54545456	0.63880587	1.0	1959	tags=24%, list=19%, signal=29%	
GSE3203_WT_VS_IFNAR1_KO_INFLUENZA_INFECTED_LN_BCELL_DN	GSE3203_WT_VS_IFNAR1_KO_INFLUENZA_INFECTED_LN_BCELL_DN		82	0.27842745	0.96166545	0.5116279	0.6406428	1.0	1648	tags=28%, list=16%, signal=33%	
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN	NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN		667	0.22027059	0.9612189	0.6594724	0.6416737	1.0	2126	tags=22%, list=20%, signal=26%	
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_DN		111	0.26136023	0.960618	0.54303277	0.64321834	1.0	1911	tags=26%, list=18%, signal=32%	
MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_MVA85A_6HR_UP	MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_MVA85A_6HR_UP		43	0.30818465	0.9599973	0.53451675	0.6448369	1.0	1163	tags=16%, list=11%, signal=18%	
GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_UP	GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_UP		144	0.2550862	0.9598721	0.5701754	0.64487195	1.0	2142	tags=24%, list=20%, signal=30%	
GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP	GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP		177	0.24998043	0.9596914	0.5623722	0.64507693	1.0	2173	tags=21%, list=21%, signal=26%	
GSE2826_XID_VS_BTK_KO_BCELL_DN	GSE2826_XID_VS_BTK_KO_BCELL_DN		133	0.25777656	0.9596383	0.5776256	0.6448825	1.0	799	tags=11%, list=8%, signal=12%	
GSE19512_NAUTRAL_VS_INDUCED_TREG_UP	GSE19512_NAUTRAL_VS_INDUCED_TREG_UP		60	0.2913502	0.9588311	0.5327869	0.6471216	1.0	1116	tags=13%, list=11%, signal=15%	
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DN	GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DN		107	0.26514933	0.9583208	0.56995887	0.64835805	1.0	2199	tags=24%, list=21%, signal=30%	
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP		149	0.25440624	0.9575787	0.56475586	0.6503715	1.0	1858	tags=21%, list=18%, signal=25%	
GSE17721_CPG_VS_GARDIQUIMOD_12H_BMDC_UP	GSE17721_CPG_VS_GARDIQUIMOD_12H_BMDC_UP		95	0.2703094	0.95698816	0.5682281	0.6518982	1.0	1851	tags=22%, list=18%, signal=27%	
GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP	GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP		129	0.25601378	0.9569329	0.550308	0.6516911	1.0	1989	tags=22%, list=19%, signal=27%	
GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP	GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP		97	0.26869744	0.956908	0.56774193	0.65139455	1.0	2435	tags=35%, list=23%, signal=45%	
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP		114	0.2629702	0.95605177	0.56504065	0.6537439	1.0	1632	tags=19%, list=16%, signal=23%	
GSE17721_0.5H_VS_4H_LPS_BMDC_DN	GSE17721_0.5H_VS_4H_LPS_BMDC_DN		125	0.2563072	0.95602804	0.5560166	0.65344644	1.0	904	tags=12%, list=9%, signal=13%	
GSE17721_LPS_VS_CPG_4H_BMDC_UP	GSE17721_LPS_VS_CPG_4H_BMDC_UP		137	0.25131965	0.9554521	0.5769231	0.65496856	1.0	2328	tags=28%, list=22%, signal=35%	
GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_UP	GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_UP		157	0.2535191	0.95479256	0.5639413	0.65671325	1.0	1596	tags=21%, list=15%, signal=24%	
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN	GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN		35	0.3232357	0.9536372	0.5345529	0.6600017	1.0	1212	tags=20%, list=12%, signal=23%	
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP	GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP		114	0.26215306	0.95282	0.56057495	0.66226524	1.0	2068	tags=26%, list=20%, signal=32%	
GSE17721_LPS_VS_POLYIC_2H_BMDC_UP	GSE17721_LPS_VS_POLYIC_2H_BMDC_UP		128	0.2577954	0.9525591	0.566879	0.66271263	1.0	1286	tags=16%, list=12%, signal=18%	
GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP	GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP		51	0.30129626	0.95236444	0.5557769	0.6629506	1.0	1381	tags=14%, list=13%, signal=16%	
GSE17721_CTRL_VS_LPS_4H_BMDC_UP	GSE17721_CTRL_VS_LPS_4H_BMDC_UP		171	0.2496244	0.9521707	0.5955285	0.66321844	1.0	2350	tags=27%, list=22%, signal=34%	
GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP	GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP		171	0.24696021	0.9514952	0.595339	0.66501117	1.0	2639	tags=38%, list=25%, signal=50%	
GSE11818_WT_VS_DICER_KO_TREG_DN	GSE11818_WT_VS_DICER_KO_TREG_DN		127	0.25833732	0.9513847	0.5507246	0.66499573	1.0	991	tags=14%, list=9%, signal=15%	
GSE24292_WT_VS_PPARG_KO_MACROPHAGE_UP	GSE24292_WT_VS_PPARG_KO_MACROPHAGE_UP		146	0.25343323	0.95089275	0.5868132	0.6661722	1.0	1002	tags=14%, list=10%, signal=16%	
GSE37301_LYMPHOID_PRIMED_MPP_VS_PRO_BCELL_UP	GSE37301_LYMPHOID_PRIMED_MPP_VS_PRO_BCELL_UP		132	0.25409144	0.95043963	0.60560346	0.6672723	1.0	1558	tags=17%, list=15%, signal=20%	
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP	GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP		167	0.24618311	0.9502143	0.5995807	0.66762334	1.0	2106	tags=25%, list=20%, signal=30%	
GSE4984_UNTREATED_VS_LPS_TREATED_DC_DN	GSE4984_UNTREATED_VS_LPS_TREATED_DC_DN		148	0.25488952	0.9495303	0.5720621	0.6694293	1.0	2346	tags=26%, list=22%, signal=33%	
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN		133	0.25210616	0.9486583	0.6099585	0.6718585	1.0	1549	tags=13%, list=15%, signal=15%	
GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN	GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN		76	0.27926692	0.947644	0.5682281	0.67471147	1.0	2197	tags=24%, list=21%, signal=30%	
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP		105	0.26396114	0.9472396	0.5847107	0.6756422	1.0	2453	tags=30%, list=23%, signal=39%	
GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP		141	0.25399825	0.9471833	0.6034483	0.6754306	1.0	1385	tags=13%, list=13%, signal=15%	
GSE16266_CTRL_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP	GSE16266_CTRL_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP		178	0.24352041	0.94656056	0.6079295	0.6770541	1.0	2003	tags=25%, list=19%, signal=31%	
