© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Agranulocyte Adhesion and Diapedesis	9.51E-01	2.8E-02	NaN	CXCR3,CXCR5,IL18,IL1R1,SELL,VCAM1	
Dermatan Sulfate Biosynthesis	9.51E-01	5E-02	NaN	CHST10,CHST15,CHSY1	
SPINK1 Pancreatic Cancer Pathway	9.51E-01	5E-02	NaN	CELA1,F2RL1,KLK3	
Aryl Hydrocarbon Receptor Signaling	9.51E-01	3.14E-02	-0.447	AHR,FASLG,JUN,RXRA,TGFB3	
Stearate Biosynthesis I (Animals)	9.07E-01	4.76E-02	NaN	ACOT11,ACSBG1,ACSF2	
Neurovascular Coupling Signaling Pathway	8.83E-01	2.67E-02	-0.816	CACNA2D4,CACNB1,GABBR1,GABRR2,PLCB4,RYR1	
G-Protein Coupled Receptor Signaling	8.76E-01	1.85E-02	-1.941	ADCY6,CNGA1,F2RL1,GABBR1,GNA15,GPR146,GPR25,JUN,PLCB4,RGS16,S1PR1,S1PR3,VIPR1	
Phospholipases	8.57E-01	4.48E-02	NaN	HMOX1,PLA1A,PLCB4	
IL-13 Signaling Pathway	8.57E-01	3.45E-02	0.000	FGR,JUN,SOCS3,TGFB3	
WNT/β-catenin Signaling	8.42E-01	2.89E-02	0.447	FRAT1,JUN,TCF4,TGFB3,WNT10A	
Role of JAK1 and JAK3 in γc Cytokine Signaling	8.36E-01	4.35E-02	NaN	IL21,IL2RA,SOCS3	
cAMP-mediated signaling	8.33E-01	2.55E-02	-0.816	ADCY6,CNGA1,GABBR1,S1PR1,S1PR3,VIPR1	
Sphingosine-1-phosphate Signaling	8.3E-01	3.33E-02	0.000	ADCY6,PLCB4,S1PR1,S1PR3	
LXR/RXR Activation	8.01E-01	3.25E-02	1.000	IL18,IL1R1,IL1R2,RXRA	
Heme Degradation	7.8E-01	2.5E-01	NaN	HMOX1	
Acetate Conversion to Acetyl-CoA	7.8E-01	2.5E-01	NaN	ACSS1	
14-3-3-mediated Signaling	7.7E-01	3.15E-02	NaN	JUN,PLCB4,TUBB2B,TUBB6	
TNFR2 Signaling	7.7E-01	6.25E-02	NaN	JUN,LTA	
Breast Cancer Regulation by Stathmin1	7.7E-01	1.85E-02	-1.508	F2RL1,GABBR1,GPR146,GPR25,JUN,PLCB4,S1PR1,S1PR3,TUBB2B,TUBB6,VIPR1	
Leptin Signaling in Obesity	7.7E-01	3.95E-02	NaN	ADCY6,PLCB4,SOCS3	
TREM1 Signaling	7.59E-01	3.9E-02	NaN	CD83,CD86,IL18	
Airway Inflammation in Asthma	7.59E-01	6.06E-02	NaN	IFNG,TGFB3	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	7.52E-01	3.85E-02	NaN	IFNG,TCF4,WNT10A	
Thyroid Cancer Signaling	7.52E-01	3.8E-02	NaN	JUN,KLK3,TCF4	
Heparan Sulfate Biosynthesis (Late Stages)	7.52E-01	3.8E-02	NaN	CHST10,CHST15,PLA1A	
Sperm Motility	7.52E-01	2.35E-02	NaN	CNGA1,FGR,GNA15,KIT,MATK,PLCB4	
Endothelin-1 Signaling	7.52E-01	2.6E-02	-1.342	ADCY6,GNA15,HMOX1,JUN,PLCB4	
Lysine Degradation V	7.4E-01	2E-01	NaN	PIPOX	
Synaptic Long Term Depression	7.4E-01	2.56E-02	-2.236	CACNA2D4,CACNB1,GNA15,PLCB4,RYR1	
BEX2 Signaling Pathway	7.4E-01	3.7E-02	NaN	JUN,KLK3,TCF4	
JAK/STAT Signaling	7.35E-01	3.66E-02	NaN	CISH,JUN,SOCS3	
Fatty Acid β-oxidation I	7.35E-01	5.56E-02	NaN	ACSBG1,ACSF2	
Gap Junction Signaling	7.35E-01	2.53E-02	NaN	ADCY6,GJB2,PLCB4,TUBB2B,TUBB6	
White Adipose Tissue Browning Pathway	7.35E-01	2.9E-02	-1.000	ADCY6,CACNA2D4,CACNB1,RXRA	
Pulmonary Healing Signaling Pathway	7.35E-01	2.51E-02	1.342	CELA1,FGR,TCF4,TGFB3,WNT10A	
Natural Killer Cell Signaling	7.35E-01	2.51E-02	2.000	FASLG,HLA-A,IFNG,IL18,KLRB1	
PI3K/AKT Signaling	7.35E-01	2.51E-02	NaN	IL17RE,IL1R1,IL1R2,IL2RA,ITGA7	
Heparan Sulfate Biosynthesis	7.06E-01	3.49E-02	NaN	CHST10,CHST15,PLA1A	
Chondroitin and Dermatan Biosynthesis	7.01E-01	1.67E-01	NaN	CHSY1	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	7.01E-01	3.45E-02	NaN	S100A4,TCF4,WNT10A	
Inhibition of Matrix Metalloproteases	7.01E-01	5.13E-02	NaN	ADAM12,TIMP2	
Sertoli Cell-Sertoli Cell Junction Signaling	7.01E-01	2.43E-02	NaN	ITGA7,JUN,TGFB3,TUBB2B,TUBB6	
Regulation of Cellular Mechanics by Calpain Protease	6.88E-01	3.37E-02	NaN	CAPN2,CNGA1,ITGA7	
Ceramide Signaling	6.82E-01	3.33E-02	NaN	JUN,S1PR1,S1PR3	
IL-8 Signaling	6.82E-01	2.38E-02	NaN	GNA15,HMOX1,JUN,NCF1,VCAM1	
Cellular Effects of Sildenafil (Viagra)	6.74E-01	2.68E-02	NaN	ADCY6,CACNA2D4,CACNB1,PLCB4	
Intrinsic Prothrombin Activation Pathway	6.7E-01	4.76E-02	NaN	KLK3,SERPINC1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	6.7E-01	1.66E-02	-0.577	BCL2L11,CD22,FASLG,FGR,IFIT3,IFNG,IL18,IL21,IRF7,JUN,LTA,TGFB3	
Pyroptosis Signaling Pathway	6.64E-01	3.23E-02	NaN	GBP5,IL18,IL1R1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.56E-01	3.19E-02	NaN	FGR,HMOX1,NCF1	
Factors Promoting Cardiogenesis in Vertebrates	6.56E-01	2.61E-02	0.000	PLCB4,TCF4,TGFB3,WNT10A	
MIF Regulation of Innate Immunity	6.5E-01	4.55E-02	NaN	CD74,JUN	
G Protein Signaling Mediated by Tubby	6.5E-01	4.55E-02	NaN	GNA15,PLCB4	
Role of NFAT in Cardiac Hypertrophy	6.31E-01	2.25E-02	-2.236	ADCY6,CACNA2D4,CACNB1,PLCB4,TGFB3	
Role of RIG1-like Receptors in Antiviral Innate Immunity	6.23E-01	4.35E-02	NaN	DDX58,IRF7	
iNOS Signaling	6.13E-01	4.26E-02	NaN	IFNG,JUN	
Dermatan Sulfate Biosynthesis (Late Stages)	6.13E-01	4.26E-02	NaN	CHST10,CHST15	
Senescence Pathway	6.07E-01	2.02E-02	NaN	BHLHE40,CACNA2D4,CACNB1,CAPN2,JUN,TGFB3	
Pathogenesis of Multiple Sclerosis	5.93E-01	1.11E-01	NaN	CXCR3	
Apoptosis Signaling	5.85E-01	2.88E-02	NaN	BCL2L11,CAPN2,FASLG	
MYC Mediated Apoptosis Signaling	5.82E-01	4E-02	NaN	BCL2L11,FASLG	
FAT10 Cancer Signaling Pathway	5.82E-01	4E-02	NaN	IFNG,TGFB3	
CXCR4 Signaling	5.75E-01	2.37E-02	NaN	ADCY6,GNA15,JUN,PLCB4	
Androgen Signaling	5.75E-01	2.37E-02	NaN	CACNA2D4,CACNB1,GNA15,JUN	
Gαq Signaling	5.7E-01	2.35E-02	-2.000	GNA15,HMOX1,PLCB4,RGS16	
Glycine Betaine Degradation	5.7E-01	1E-01	NaN	PIPOX	
