"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"3982"	"Hccs"	2382	1.58839876748848	5.75491247071141	238.854888074151	2.25506889204371e-10	2.11566020453221e-08
"9498"	"Tuba4a"	2053	1.27615790042742	7.77850974588778	238.244004504094	2.29481696780849e-10	2.11566020453221e-08
"2612"	"Dnajc9"	1631	1.1972499683761	7.41688002842843	239.412968930529	2.2194405654937e-10	2.11566020453221e-08
"7349"	"Rfc5"	1730	1.77740867360234	7.28084248267993	237.600040429388	2.33758372325159e-10	2.11793145960122e-08
"1642"	"Cd2"	1144	-1.29127975177677	9.30765227815686	237.669773105133	2.33290910793049e-10	2.11793145960122e-08
"7257"	"Rbm14"	3168	1.46943606721351	6.79300668304838	235.297173304496	2.49812098881152e-10	2.2440385976418e-08
"3099"	"Fam101b"	3511	-2.59573766742503	6.17685971634414	232.478733370752	2.71196196925644e-10	2.34722837954056e-08
"715"	"Ankrd12"	8991	-1.83183848448853	6.47058613718914	232.73283843813	2.69185041267044e-10	2.34722837954056e-08
"1599"	"Ccnd3"	2260	1.43378455633921	8.06437613023335	232.515028643909	2.70907887370017e-10	2.34722837954056e-08
"551"	"Adsl"	3712	1.20395054033176	7.48602650446778	233.182044576166	2.65671133262925e-10	2.34722837954056e-08
"466"	"Acp5"	1616	-1.19991401384436	6.90322338759574	232.319387731961	2.72466091630779e-10	2.34722837954056e-08
"2717"	"Dusp6"	2797	-1.69941793047411	6.44891603992071	231.710980655738	2.77377429314876e-10	2.35569096321708e-08
"5974"	"Nsun2"	4279	1.49906804817177	7.75702789966348	231.643152420635	2.77931188809627e-10	2.35569096321708e-08
"5774"	"Neat1"	20771	-1.84249255646112	4.95691491504798	231.057384039307	2.82766224707474e-10	2.37749841734044e-08
"7874"	"Sepp1"	2216	-1.84949906185734	7.60526535371667	230.357402139216	2.88670101797742e-10	2.4078752142018e-08
"10407"	"Zfp945"	6618	-2.23916068731897	4.41075395059396	229.702680395496	2.94319583942464e-10	2.42652082982891e-08
"8024"	"Siva1"	782	1.8877551021617	6.10651146390001	229.565065204556	2.95522993547194e-10	2.42652082982891e-08
"2863"	"Eif4a1"	1880	1.26121176470182	8.97983820057942	229.04650815829	3.001082510574e-10	2.44506799892502e-08
"8974"	"Tipin"	1211	1.98445331027314	7.32618795957351	228.516964229639	3.04874457413597e-10	2.44597751711214e-08
"4188"	"Hsdl1"	3169	-1.25127055153528	7.60577308063532	228.670511212676	3.03483628449797e-10	2.44597751711214e-08
"8744"	"Tagap"	3076	-1.94450800343372	6.50068200118235	227.851331573023	3.10988296708165e-10	2.47612651394153e-08
"10373"	"Zfp831"	9805	-2.53807293590482	4.70513907185144	226.674698857782	3.2214040777219e-10	2.49390407096978e-08
"1960"	"Clic4"	4064	2.46655947433652	5.31203421281333	225.65204150532	3.32204157883701e-10	2.49390407096978e-08
"10501"	"Zwilch"	2784	2.36002884726107	4.15359858511354	227.057057174216	3.18467218412476e-10	2.49390407096978e-08
"6396"	"Pglyrp1"	681	-2.08812632357117	4.02069516440183	225.928913506766	3.29444614221804e-10	2.49390407096978e-08
"5917"	"Nop58"	1976	1.55384002585219	7.44595622509785	226.18304772106	3.26934650806335e-10	2.49390407096978e-08
"1632"	"Cct6a"	2171	1.53157358928015	8.63908963621198	226.200931113165	3.26758846718153e-10	2.49390407096978e-08
"8955"	"Timeless"	4515	1.51110265498068	6.45981642296893	225.965256918622	3.29084326465707e-10	2.49390407096978e-08
"6728"	"Ppia"	736	0.981837899661743	11.1193038801236	225.79342752911	3.30791708672515e-10	2.49390407096978e-08
"4819"	"Lime1"	1959	-1.40886307351733	8.07539317881423	225.333518675558	3.35411444081405e-10	2.50012360091884e-08
"6019"	"Nudt5"	1589	1.61681506854554	5.86362696397791	224.148423981812	3.4765802577825e-10	2.57315904995028e-08
"6712"	"Ppa1"	1292	1.61020055825505	6.94334505954387	222.470765420171	3.65875396690001e-10	2.68905623721113e-08
"6029"	"Nup107"	3092	1.85662688344592	6.80929974084261	221.252112387979	3.79790939713685e-10	2.73786357929988e-08
"9143"	"Tmem63a"	3239	-1.55968246966924	5.13834064043766	221.614690690537	3.75588723024999e-10	2.73786357929988e-08
"2476"	"Dennd1c"	2521	-1.2777130948987	7.33847889868322	221.205829628789	3.80331191796177e-10	2.73786357929988e-08
