"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"10365"	"Uchl3"	1261	1.50312651940201	6.86883467275736	236.386549624391	2.61150594908845e-10	2.49688061436537e-08
"2833"	"Eif4a1"	1880	1.31640573427563	8.9334639031236	235.428717708711	2.68444623882619e-10	2.49688061436537e-08
"9094"	"Srsf6"	3547	0.98459447854621	8.14242324637081	235.153854532066	2.70580418327035e-10	2.49688061436537e-08
"1567"	"Cct6a"	2302	1.59176503504564	8.75560141080222	234.860767965275	2.72879175298831e-10	2.49762093944247e-08
"6129"	"Nasp"	7011	1.8168637455357	6.88990411845664	233.542436469527	2.83498231063554e-10	2.57388958493024e-08
"9567"	"Tipin"	2288	2.02453447078711	7.32435835777513	231.885349763604	2.97520351040114e-10	2.67958728960769e-08
"8273"	"Sac3d1"	1521	1.87680613459658	4.79717950021564	230.822205023867	3.06932494195608e-10	2.73037696201521e-08
"1577"	"Cd2"	1144	-1.24011247593513	9.26705608445769	230.702849049741	3.08010192019837e-10	2.73037696201521e-08
"6644"	"Pa2g4"	2432	1.82992059447942	7.73083152632487	229.550840760212	3.18636651240541e-10	2.73917500831437e-08
"6388"	"Nop58"	2184	1.60682222461942	7.43362346391084	229.540378280114	3.18735056039423e-10	2.73917500831437e-08
"6450"	"Nsmf"	2954	-1.24707802343933	5.18501849606968	229.851166976206	3.15826639827324e-10	2.73917500831437e-08
"4801"	"Itpr2"	12700	-1.21594764772961	7.18428737325457	229.725270591091	3.17001141485038e-10	2.73917500831437e-08
"1568"	"Cct7"	2452	1.20507277265229	9.03253820861989	229.145727004027	3.22472359563141e-10	2.75029835148624e-08
"11136"	"Zfp945"	7261	-2.21317443310086	4.38030169035874	227.502547359167	3.38579347837356e-10	2.80984853382215e-08
"6507"	"Nup107"	3145	1.91369511626374	6.7969749920754	227.833253647433	3.35265307833439e-10	2.80984853382215e-08
"6203"	"Ndufab1"	2189	1.16658958583314	7.38989182012331	227.417455510203	3.39438089003208e-10	2.80984853382215e-08
"400"	"Acp5"	2880	-1.15134635959831	6.88897715076309	227.602551007409	3.37573280394764e-10	2.80984853382215e-08
"1917"	"Clic4"	4065	2.51360464719838	5.2992310814504	225.547561935618	3.58950142456027e-10	2.88253801698697e-08
"10207"	"Tuba1b"	1564	1.97826987429143	9.57960128236425	225.376953111544	3.60793160095178e-10	2.88253801698697e-08
"9736"	"Tmem63a"	8210	-1.53438411796472	5.12462962898443	225.758085308664	3.56690712195705e-10	2.88253801698697e-08
"2431"	"Dek"	4100	1.36729388068875	7.76467276390279	225.613363311129	3.58242185461719e-10	2.88253801698697e-08
"8559"	"Sigirr"	2497	-1.27585821111615	6.82235287906612	225.35589658426	3.61021371820184e-10	2.88253801698697e-08
"6082"	"N4bp2l1"	3345	-1.60389827311153	5.47201751925046	225.056812982744	3.64280680773252e-10	2.8880788057361e-08
"7873"	"Rflnb"	3512	-2.55178680889707	6.13011742147135	224.683372738785	3.68397476528498e-10	2.89837688369468e-08
"2681"	"Dusp6"	3214	-1.57763408449147	6.06261083725436	224.474014814968	3.70728611877806e-10	2.89837688369468e-08
"7214"	"Ppa1"	1292	1.66198229074043	6.92772336664368	224.141797571792	3.74462331114328e-10	2.90737718874835e-08
"7632"	"Rab37"	6512	-1.3823277294692	7.92493449681702	223.616942011398	3.80448733436239e-10	2.93362454864738e-08
"9547"	"Timeless"	8139	1.54256531320686	6.40062505025674	221.163656444845	4.09916846902982e-10	3.1004083685043e-08
"1592"	"Cd37"	2066	-1.21483647417851	7.93405267839214	221.129900869526	4.1034006653681e-10	3.1004083685043e-08
"9125"	"St6gal1"	5174	-0.995342803423993	7.46821975574543	221.347076979817	4.07625838603101e-10	3.1004083685043e-08
"6481"	"Nudcd1"	3447	1.45234998234512	5.14277097120832	220.553880199486	4.17639379932123e-10	3.13452275951723e-08
"9324"	"Tagap"	3081	-1.8889745218648	6.46092707931299	219.962909192455	4.25282320585798e-10	3.16332854623595e-08
