"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"5565"	"Mcm4"	3589	2.35463973610631	8.54585543032536	225.08225446877	3.64002127326995e-10	4.65656470015179e-08
"7056"	"Pld3"	2997	-1.00393058046647	6.6808784419076	223.932960770671	3.76831333143949e-10	4.71374127614953e-08
"8858"	"Smpdl3a"	1791	-1.88641757514605	7.38978053556463	222.538447368735	3.93095349806361e-10	4.81054136275181e-08
"6479"	"Nucks1"	6096	1.68082877340348	7.70907724240458	222.18126426617	3.97388831707158e-10	4.81054136275181e-08
"2976"	"Eri1"	5587	1.59252622085741	7.04630164759712	222.202697570489	3.97129693008314e-10	4.81054136275181e-08
"10310"	"Ube2h"	4780	-1.50696432985756	6.20339729801408	221.515715416559	4.05532332040539e-10	4.85689680224722e-08
"4418"	"Hmga1"	2046	2.12028667925158	5.86890483806097	220.391367137859	4.19725420666459e-10	4.89736459247052e-08
"6956"	"Pidd1"	5313	1.87686398852579	4.93553849087533	219.884239348155	4.26311716168157e-10	4.89736459247052e-08
"8046"	"Rpa2"	1782	1.59375265381292	6.80812210245647	220.506796315984	4.18242537316168e-10	4.89736459247052e-08
"10251"	"Txndc15"	1527	-1.2421588745722	6.66832442281308	220.027877216538	4.24434348448753e-10	4.89736459247052e-08
"4201"	"Gtse1"	2820	3.29296729265164	5.6593338997182	216.43374235666	4.74383907233944e-10	5.27494669186192e-08
"6149"	"Ncaph"	2695	2.89881749805558	6.71113812198124	216.195686120386	4.77921977766846e-10	5.27494669186192e-08
"7993"	"Rnf167"	2089	-1.38278881741551	7.06751542549507	216.556227948133	4.72575120542586e-10	5.27494669186192e-08
"8811"	"Smarcc1"	5673	1.3001939771142	6.99804937853868	217.117116091666	4.64392048289033e-10	5.27494669186192e-08
"9843"	"Top2a"	5239	2.86760628312255	8.89802335024877	213.323004672997	5.23075843581368e-10	5.66229600676831e-08
"4812"	"Izumo1r"	3280	-2.52719424747289	9.09141690226684	213.446031106297	5.21045182528222e-10	5.66229600676831e-08
"3289"	"Fkbp4"	2196	1.53204538123014	7.6226780747582	211.899120775282	5.4724655506875e-10	5.86752544472761e-08
"1305"	"Bub1"	4351	3.41393389350571	6.23955901053641	209.746282509872	5.8624849635427e-10	6.08788343637811e-08
"10776"	"Zbtb20"	47537	-2.70770954783251	4.5605005164036	208.735221187769	6.05651931847885e-10	6.08788343637811e-08
"4420"	"Hmgb2"	2757	1.936757310459	10.1472912438265	209.973109247142	5.81993315595278e-10	6.08788343637811e-08
"593"	"Alg8"	2294	1.79097761885124	5.85934353238335	208.837073641306	6.03664475155324e-10	6.08788343637811e-08
"4671"	"Impdh2"	1773	1.53335881645032	7.4265971766263	209.762054219804	5.85951481105758e-10	6.08788343637811e-08
"10214"	"Tubb5"	2645	1.52322725033878	9.89393601215143	209.19529265777	5.96733310372067e-10	6.08788343637811e-08
"4310"	"Haus4"	2474	1.44651161337008	6.64784268491169	209.094779890506	5.98668932087218e-10	6.08788343637811e-08
