"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"8541"	"St14"	4017	1.05923414324567	4.75133665574852	38.1573855612072	2.1108086676459e-05	0.00302136983574472
"1584"	"Ccdc92"	2256	-0.998057537926014	3.97646342318858	37.957740838168	2.17082750228694e-05	0.00302136983574472
"2181"	"Crtc3"	5110	-0.841378289644261	4.69620968196543	38.0556011440238	2.14116828701593e-05	0.00302136983574472
"7138"	"Rab6a"	3320	-0.713270450742571	5.62901779899029	37.8193828971097	2.21356305758652e-05	0.00302136983574472
"8681"	"Swap70"	4035	0.666661429033272	4.92509203395068	38.2385058626628	2.08696363798952e-05	0.00302136983574472
"4353"	"Ilkap"	1368	-0.626193036821923	6.3999381924671	37.4505510165002	2.33225063827388e-05	0.00310277901370361
"1136"	"B3gnt2"	2818	-0.513014912856587	8.08972317646607	37.5049411591507	2.31430068979482e-05	0.00310277901370361
"6250"	"Pcgf6"	2098	-1.29474066544738	4.19466969787671	37.0024129000446	2.48633955514527e-05	0.00314836490657552
"7660"	"Rrs1"	2048	-1.22119333852029	5.22122202978203	37.0809965764238	2.45849964458051e-05	0.00314836490657552
"3233"	"Fance"	2016	-0.915230645789687	4.08494337124465	37.1511210388524	2.43395623483968e-05	0.00314836490657552
"5029"	"Map2k2"	2373	-0.759522274022427	7.13090769355377	37.2024341030737	2.41617365524302e-05	0.00314836490657552
"10003"	"Yars2"	1587	-1.59441458554508	4.20220035655986	36.64862648336	2.6162091384329e-05	0.00316050092470457
"4970"	"Lysmd2"	1200	-1.53797338791661	2.94198586444846	36.7774593397845	2.56804158349982e-05	0.00316050092470457
"6519"	"Pithd1"	1538	-1.10094600157639	5.80128850451657	36.7177554794443	2.59023664789004e-05	0.00316050092470457
"1328"	"Brf1"	2755	-0.88745411052691	5.40836743439384	36.7474566148441	2.57916796390944e-05	0.00316050092470457
"6023"	"Nudt9"	1492	-0.807491486703364	5.19093352369992	36.5544414351948	2.65207453755886e-05	0.00316742083974359
"10062"	"Zbtb32"	1775	1.82051231213026	5.89653066600019	36.395781652809	2.7137663156951e-05	0.0032046835930287
"7762"	"Satb1"	6788	-0.867874606090959	7.44218060756542	36.1868871441128	2.79750117813893e-05	0.0032668597091378
"426"	"Abtb2"	4558	-0.501025858151367	6.78398868893621	35.9110354039066	2.91262606904024e-05	0.00332735869408836
"3862"	"Gsap"	3745	0.437289772736286	5.93971151000216	35.928243258361	2.90528856918508e-05	0.00332735869408836
"5182"	"Med30"	871	-0.440410473426078	6.23473174650946	35.7783196481009	2.96993163811523e-05	0.00335634209855818
"8614"	"Strn4"	3535	-0.798022684987812	6.21967046752655	35.6932102937066	3.00735726345461e-05	0.00336248136584127
"116"	"2300009A05Rik"	598	-1.03171500814279	3.94691268655057	35.3699271119253	3.15449841223855e-05	0.00348987140132918
"10349"	"Zfp771"	1230	-1.55845592153526	3.71294492550829	34.9641524461043	3.35094040346371e-05	0.00363076120004161
"2829"	"Eid1"	2543	-0.71475884791664	5.52372202762344	34.9832609685533	3.34138262788303e-05	0.00363076120004161
"5072"	"Marc2"	1883	-0.539046422655926	6.63551303203454	34.8712871976987	3.39783609129869e-05	0.00364400584893359
"2058"	"Colgalt1"	3181	-1.01130688985729	4.92229253559988	34.4911789327403	3.59774434458613e-05	0.00381942354157578
"4029"	"Herpud2"	2744	-1.12899853695697	4.75787144447214	34.3063140441344	3.69979270375667e-05	0.00384998230856263
"2254"	"Cttn"	3223	0.824422171834518	4.32305396028165	34.3513127824613	3.67465219552065e-05	0.00384998230856263
"7113"	"Rab24"	1865	-1.47672353532208	5.61347513386148	34.0398836668384	3.85272475645965e-05	0.00396981737160695
"6407"	"Phactr2"	8913	-0.917313486067284	4.35524136620736	33.9640355134196	3.89757065506347e-05	0.00397703568783661
"1040"	"Atp1a1"	3702	-0.699778890323005	7.51122592329315	33.854056137627	3.96365791601572e-05	0.00400558122089666
"7131"	"Rab40c"	2466	-1.10334204102639	3.54481925855975	33.6626930929847	4.08171752140982e-05	0.0040241225961118
"8133"	"Slc30a9"	3411	-0.866570587074715	4.88520670053116	33.5781330431695	4.13515928049547e-05	0.0040241225961118
"7297"	"Rcbtb1"	3903	-0.726684171594162	6.31793830779919	33.6132914424888	4.11284296719567e-05	0.0040241225961118
"9683"	"Unc93b1"	2266	0.531109273525856	5.60991728520112	33.6735707948271	4.07490016152982e-05	0.0040241225961118
"9782"	"Vapa"	1643	-0.842765996450001	6.90841943517428	33.4428126580108	4.22234953692875e-05	0.00405173841857527
"2020"	"Cnot11"	3166	-0.82903811848816	5.85914189113992	33.4148303111407	4.24063963885138e-05	0.00405173841857527
"4608"	"Khdrbs1"	4782	-0.409836357785723	7.91358130655979	33.2830512595098	4.32799760693217e-05	0.00409795088728442
"4550"	"Kbtbd11"	6972	-0.485851197345177	6.68128765273036	33.0405370456682	4.49417989376591e-05	0.00421730631102497
"18"	"1110008F13Rik"	1050	-1.40071227931308	4.37670970495035	32.9116233059075	4.58547192762501e-05	0.0042203672564068
"7757"	"Sart1"	5091	-0.908220863922562	6.78541676254119	32.8665217556097	4.61790898655359e-05	0.0042203672564068
"1173"	"BC037034"	2546	-0.631495473555109	4.59651924242063	32.9769244605062	4.5389664894861e-05	0.0042203672564068
"8505"	"Srrd"	1111	-1.27672475084763	3.57289162162417	32.7165035724415	4.72769924955132e-05	0.00428345854420555
"6585"	"Plin2"	1887	0.803823060147991	3.85738505907288	32.6298709242547	4.79245505057939e-05	0.00430501731466576
"3288"	"Fbxo4"	3446	-1.11875120562984	3.71824911705801	32.4948851457008	4.89537917577247e-05	0.00436020636757362
"2744"	"E130012A19Rik"	2330	-1.57138392948312	2.6448339336315	32.2376629800345	5.09856121178387e-05	0.00439228510949578
"9281"	"Tprgl"	1742	-1.17796699012435	6.36934593480643	32.2680770049082	5.07404263749444e-05	0.00439228510949578
"3719"	"Gmfg"	1111	-0.626277282936468	7.76664310834377	32.2608700927424	5.079840388606e-05	0.00439228510949578
"10015"	"Yipf4"	2133	-0.616045149650868	6.13313923891456	32.2622830856752	5.0787030819926e-05	0.00439228510949578
"7285"	"Rbms1"	3057	-1.04518057490946	5.26030543040665	32.1018680281981	5.20969439261117e-05	0.00445153561514987
"1270"	"Bid"	1891	0.633504767779061	5.830443983597	32.0167739378296	5.28074131694305e-05	0.00447585413234447
"4453"	"Iscu"	887	-0.816813842108808	5.61287551327848	31.8403343885698	5.43160284444552e-05	0.00453064649961289
"7773"	"Scaf11"	7724	-0.60740209690986	7.19701994784519	31.8787389849647	5.39835181418528e-05	0.00453064649961289
"7856"	"Selo"	2360	-1.39465395317391	3.25216078184591	31.7475842117937	5.51287401377024e-05	0.00454350834872008
